,reviews,result
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0
3,Very little music or anything to speak of.  ,0
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0
6,Wasted two hours.  ,0
7,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1
8,A bit predictable.  ,0
9,Loved the casting of Jimmy Buffet as the science teacher.  ,1
10,And those baby owls were adorable.  ,1
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1
13,It Was So Cool.  ,1
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1
